UT,TIME,ALTITUDE,APOAPSIS,PERIAPSIS,INCLINATION,S VELOCITY,O VELOCITY,THRUST,MASS,IDEAL PITCH,PITCH,GRAVITY,STAGE,S1 FUEL,S1 OX,S2 FUEL,S2 OX
3006546.06176012,4.52000000420958,176.866265010904,281.02203821158,0,0.0973512078256943,43.97890319871,180.537863966109,281.924377441406,14.2072134017944,89.6386859508708,89.7402966654123,9.8042190294064,5,91.5%,91.5%,100%,100%
3006546.10176012,4.56000000424683,178.637019443093,284.545953683206,0,0.0973560364131558,44.5589650502526,180.684484482802,281.939910888672,14.2000532150269,89.6318749511643,89.7350445126837,9.80413206181775,5,91.4%,91.4%,100%,100%
3006546.16176012,4.62000000430271,181.322152430774,289.889726779656,0,0.0973593312992899,44.9456856009792,180.783242967096,281.95036315918,14.1952800750732,89.6272846369976,89.7314620761826,9.80407345228677,5,91.3%,91.3%,100%,100%
3006546.20176012,4.66000000433996,183.131575313513,293.490827353904,0,0.097362618217862,45.3324090270941,180.882814485485,281.960891723633,14.1905059814453,89.6203247826495,89.7260539920417,9.80398459145908,5,91.2%,91.2%,100%,100%
3006546.26176012,4.70000000437722,185.874715105165,298.950338653522,0,0.0973679726412096,45.9124989129095,181.033701446322,281.976867675781,14.1833457946777,89.615635278874,89.7224184432183,9.80392472006412,5,91.1%,91.1%,100%,100%
3006546.30176012,4.7600000044331,187.722816309077,302.628603046411,0,0.0973712929367025,46.2992312958024,181.135312320667,281.98762512207,14.1785726547241,89.6109060817975,89.7186788024781,9.80386434356359,5,91%,91%,100%,100%
3006546.34176012,4.80000000447035,189.586379604647,306.337694238056,0,0.0973770127634342,46.879320163925,181.289256624707,282.00390625,14.1714124679565,89.6037379751877,89.7129458604593,9.80377283268428,5,91%,90.9%,100%,100%
3006546.40176012,4.86000000452623,192.41072496667,311.95912589517,0,0.0973810906784514,47.2660395747389,181.39290596872,282.014892578125,14.1666383743286,89.5989096952776,89.7091553410114,9.80371119453929,5,90.8%,90.8%,100%,100%
3006546.44176012,4.90000000456348,194.312976213871,315.74526827503,0,0.0973846836618617,47.6527515947362,181.497380315934,282.025955200195,14.161865234375,89.5915930027027,89.7032665409521,9.80361779024015,5,90.8%,90.8%,100%,100%
3006546.50176012,4.94000000460073,197.195335016469,321.482249494526,0,0.097390457397954,48.2328049886415,181.655646900547,282.042694091797,14.1547050476074,89.5866656792213,89.699363384976,9.803554890083,5,90.7%,90.7%,100%,100%
3006546.54176012,5.00000000465661,199.136241380242,325.345384689514,0,0.0973945964636066,48.6194910028887,181.762158409335,282.053985595703,14.1499309539795,89.5816987911135,89.6954281140758,9.80349148528896,5,90.6%,90.6%,100%,100%
